# imc1-opp-dim
# quelen-Q-W=10-8-16
# 99^{th}\% queue occupancy sum (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              10.0                             10.0                             10.0                             10.0                             10.0                             
3.0                              10.0                             10.0                             10.0                             10.0                             10.0                             
4.0                              10.0                             10.0                             10.0                             10.0                             10.0                             
5.0                              10.0                             10.0                             11.0                             11.0                             10.0                             
6.0                              10.0                             10.0                             12.0                             13.0                             11.0                             
7.0                              10.0                             10.0                             13.0                             15.0                             12.0                             
8.0                              10.0                             11.0                             15.0                             18.0                             14.0                             
9.0                              10.0                             11.0                             16.0                             19.0                             15.0                             
10.0                             10.0                             12.0                             17.0                             20.0                             17.0                             
11.0                             10.0                             13.0                             18.0                             20.0                             18.0                             
12.0                             10.0                             14.0                             19.0                             20.0                             19.0                             
13.0                             10.0                             18.0                             20.0                             20.0                             20.0                             
14.0                             10.0                             22.0                             21.0                             21.0                             20.0                             
15.0                             10.0                             26.0                             24.0                             22.0                             22.0                             
16.0                             10.0                             31.0                             27.0                             22.0                             24.0                             
17.0                             10.0                             35.0                             29.0                             23.0                             26.0                             
18.0                             10.0                             37.0                             30.0                             24.0                             28.0                             
19.0                             10.0                             38.0                             32.0                             24.0                             29.0                             
20.0                             10.0                             39.0                             33.0                             25.0                             30.0                             
21.0                             10.0                             40.0                             35.0                             26.0                             31.0                             
22.0                             10.0                             40.0                             36.0                             27.0                             32.0                             
23.0                             10.0                             41.0                             37.0                             27.0                             34.0                             
24.0                             10.0                             42.0                             39.0                             28.0                             35.0                             
25.0                             10.0                             43.0                             41.0                             28.0                             36.0                             
26.0                             10.0                             44.0                             42.0                             29.0                             38.0                             
27.0                             10.0                             45.0                             45.0                             29.0                             39.0                             
28.0                             10.0                             45.0                             46.0                             29.0                             40.0                             
29.0                             10.0                             46.0                             48.0                             30.0                             42.0                             
30.0                             10.0                             47.0                             50.0                             30.0                             43.0                             
