# caida-chi15-opp
# Q-W=8-16
# 99^{th}\% queue occupancy sum (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              3.0                              2.0                              2.0                              2.0                              2.0                              
3.0                              4.0                              2.0                              2.0                              2.0                              2.0                              
4.0                              5.0                              2.0                              2.0                              3.0                              2.0                              
5.0                              7.0                              3.0                              3.0                              3.0                              3.0                              
6.0                              9.0                              3.0                              3.0                              3.0                              3.0                              
7.0                              17.0                             3.0                              3.0                              3.0                              3.0                              
8.0                              36.0                             3.0                              3.0                              3.0                              3.0                              
9.0                              143.0                            3.0                              3.0                              4.0                              3.0                              
10.0                             755.0                            4.0                              4.0                              4.0                              4.0                              
11.0                             ?                                4.0                              4.0                              4.0                              4.0                              
12.0                             ?                                4.0                              4.0                              4.0                              4.0                              
13.0                             ?                                4.0                              4.0                              5.0                              4.0                              
14.0                             ?                                5.0                              5.0                              5.0                              5.0                              
15.0                             ?                                5.0                              5.0                              5.0                              5.0                              
16.0                             ?                                5.0                              6.0                              6.0                              6.0                              
17.0                             ?                                6.0                              6.0                              6.0                              6.0                              
18.0                             ?                                6.0                              6.0                              7.0                              6.0                              
19.0                             ?                                7.0                              7.0                              7.0                              7.0                              
20.0                             ?                                7.0                              7.0                              7.0                              7.0                              
21.0                             ?                                8.0                              8.0                              8.0                              8.0                              
22.0                             ?                                8.0                              8.0                              8.0                              9.0                              
23.0                             ?                                9.0                              9.0                              9.0                              9.0                              
24.0                             ?                                10.0                             9.00999999999                    10.0                             10.0                             
25.0                             ?                                10.0                             10.0                             10.0                             10.0                             
26.0                             ?                                11.0                             11.0                             11.0                             11.0                             
27.0                             ?                                12.0                             11.0                             14.0                             11.0                             
28.0                             ?                                12.0                             12.0                             19.01                            12.0                             
29.0                             ?                                13.0                             12.01                            23.0                             12.0                             
30.0                             ?                                14.0                             13.0                             28.0                             13.0                             
