# caida-chi15-opp
# Q-W=16-16
# 99^{th}\% queue occupancy sum (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              3.0                              2.0                              2.0                              2.0                              2.0                              
3.0                              4.0                              2.0                              2.0                              2.0                              2.0                              
4.0                              5.0                              2.0                              2.0                              2.0                              2.0                              
5.0                              7.0                              3.0                              3.0                              3.0                              3.0                              
6.0                              9.0                              3.0                              3.0                              3.0                              3.0                              
7.0                              17.0                             3.0                              3.0                              3.0                              3.0                              
8.0                              36.0                             3.0                              3.0                              3.0                              3.0                              
9.0                              143.0                            3.0                              3.0                              3.0                              3.0                              
10.0                             755.0                            3.0                              3.0                              4.0                              3.0                              
11.0                             ?                                4.0                              4.0                              4.0                              4.0                              
12.0                             ?                                4.0                              4.0                              4.0                              4.0                              
13.0                             ?                                4.0                              4.0                              4.0                              4.0                              
14.0                             ?                                4.0                              4.0                              5.0                              4.0                              
15.0                             ?                                5.0                              5.0                              5.0                              5.0                              
16.0                             ?                                5.0                              5.0                              5.0                              5.0                              
17.0                             ?                                5.0                              6.0                              6.0                              6.0                              
18.0                             ?                                6.0                              6.0                              6.0                              6.0                              
19.0                             ?                                6.0                              6.0                              6.0                              6.0                              
20.0                             ?                                7.0                              7.0                              7.0                              7.0                              
21.0                             ?                                7.0                              7.0                              7.0                              7.0                              
22.0                             ?                                8.0                              8.0                              8.0                              8.0                              
23.0                             ?                                8.0                              8.0                              8.0                              8.0                              
24.0                             ?                                9.0                              9.0                              9.0                              9.0                              
25.0                             ?                                9.0                              9.0                              9.0                              9.0                              
26.0                             ?                                10.0                             9.0                              11.0                             10.0                             
27.0                             ?                                10.0                             10.0                             13.0                             10.0                             
28.0                             ?                                11.0                             10.0                             18.0                             10.0                             
29.0                             ?                                11.0                             11.0                             21.0                             11.0                             
30.0                             ?                                12.0                             11.0                             24.0                             11.0                             
